url,answer,category,score_value,acceptable_answers
https://www.youtube.com/watch?v=U7ForHMX-xs,Final Fantasy XIV,Final Fantasy,200,ff14|ffxiv|final fantasy 14
https://www.youtube.com/watch?v=39Cg92jbc88,Final Fantasy XIII,Final Fantasy,400,ff13|ffxiii|final fantasy 13
https://www.youtube.com/watch?v=rUCeXApQxNw,Final Fantasy IX,Final Fantasy,600,ff9|ffix|final fantasy 9
https://www.youtube.com/watch?v=hNRHO2pY97I&list=PL5F286D0D14A5E1B0&index=8,Final Fantasy Crystal Chronicles,Final Fantasy,800,
https://www.youtube.com/watch?v=E3tkgU0pQmQ,Super Mario Sunshine,Nintendo,200,mario sunshine
https://www.youtube.com/watch?v=ZbbUv1hz6mE,Metroid Prime,Nintendo,400,
https://www.youtube.com/watch?v=wAPpVplHiDE&list=PL9D912B0F33E8C5CA&index=8,Donkey Kong Country,Nintendo,600,
https://www.youtube.com/watch?v=tw7HHUItwAg&list=PLCE8727E41623DF97&index=17,Yoshi's Island,Nintendo,800,Yoshi Island
https://www.youtube.com/watch?v=6ZndkKew65Q,StarCraft ,PC,200,
https://www.youtube.com/watch?v=oAg4yjEmerU,Portal 2,PC,400,Portal II
https://www.youtube.com/watch?v=j_vLgPptLp8&list=PLJaKbPlXXQon3TLMKh_Gm3rSKwPV9dm4w,Hearthstone: Heroes of WarCraft ,PC,600,Hearthstone
https://www.youtube.com/watch?v=AURn_O4t2oE&list=PLAMGM1hSRIUpLzBRQpG-Puu6c6mzkLfHI&index=8,Baldur's Gate II,PC,800,Baldur's Gate 2
https://www.youtube.com/watch?v=wDgQdr8ZkTw,Undertale,Indie Games,200,
https://www.youtube.com/watch?v=ABXga9y0B3I,Hollow Knight,Indie Games,400,
https://www.youtube.com/watch?v=AlYHQDsA13U,Cave Story,Indie Games,600,
https://www.youtube.com/watch?v=XBUAIz6EDf8&list=PLPD-MWY5xbubSzOA8o3CraV4LqsSfQ5w8&index=6,Opus Magnum,Indie Games,800,
