url,answer,category,score_value,acceptable_answers
https://www.youtube.com/watch?v=m2680ciixQc&list=PLD61626F6813F6C5F,Jet Set Radio,Dreamcast,200,
https://www.youtube.com/watch?v=OqmFbfVlvD4&list=PLvNp0Boas722L8qX0VsBhaI8s0a9k4Umr&index=2,Sonic Adventure,Dreamcast,400,
https://www.youtube.com/watch?v=pc6kKUiSgiM&list=PL0FBDE87A34B6D290&index=4,Ikaruga,Dreamcast,600,
https://www.youtube.com/watch?v=hJC7Y7tSnOE&list=PLXRkwGvXTai7UMlbU99ojlbXZkSGvECVR&index=3,Space Channel 5 Part 2,Dreamcast,800,Space Channel 5 Part II
https://www.youtube.com/watch?v=n1fWzyDVesc&list=PL3CBDC974B0BA26D3&index=6,Metal Gear Solid,Playstation,200,MGS|MGS1
https://www.youtube.com/watch?v=dUQxO8ZFU9g&list=PLsPMOz2-mpmPVQVxqhIU31jzmlD5-osq4&index=2&t=0s,Wipeout,Playstation,400,
https://www.youtube.com/watch?v=DpVayAU-iiE&list=PLCE4D1F2D636C63A4&index=2&t=0s,Tomb Raider 2,Playstation,600,Tomb Raider II
https://www.youtube.com/watch?v=Vu3RGFkfVgI,Resident Evil,Playstation,800,Biohazard
https://www.youtube.com/watch?v=z3ZiVn5L9vM,Tetris,Gameboy,200,
https://www.youtube.com/watch?v=e8pE9euOYbs&list=PLA26855F88564F001&index=2&t=0s,Pokemon Red/Blue,Gameboy,400,Pokemon Red|Pokemon Blue|Pokemon Red Blue|Pokemon Red And Blue
https://www.youtube.com/watch?v=ObclY0UOj3c&list=PLDF2556A8C45BF850&index=14&t=0s,The Legend of Zelda: Link’s Awakening,Gameboy,600,Zelda Link’s Awakening
https://www.youtube.com/watch?v=SGVIgnPk-WM&list=PL-vD6rIjXrcK8Q7aMPbxCG1E1sc-dFXzf&index=6&t=0s,Street Fighter II,Gameboy,800,Street Fighter 2
https://www.youtube.com/watch?v=BSsfjHCFosw,Doom,FPS,200,
https://www.youtube.com/watch?v=kuXf54tMHg4&list=PLgbAZOOzSenDwXrtaFJ2WmKogjCmuiIDA&index=3,Overwatch,FPS,400,
https://www.youtube.com/watch?v=a75SxyVBvKU&list=PL3410948E2468F3D5&index=3&t=0s,Half Life 2,FPS,600,HL2
https://www.youtube.com/watch?v=Os9Ckz3UAzw&list=PL4QfUu_1EnHLeBfdqZlHO2hFh0zZMOzWo&index=3,Unreal Tournament 2004,FPS,800,UT2004
