url,answer,category,score_value,acceptable_answers
https://www.youtube.com/watch?v=EFTk1TUsfVk,Mario Power Tennis,Attrape-Couillon,200,
https://www.youtube.com/watch?v=uGPnbM0iXjI&list=PL688B5303B6BF10B6&index=48,Final Fantasy Crystal Chronicles: The Crystal Bearers,Attrape-Couillon,400,
https://www.youtube.com/watch?v=u0wNbXWyW2Y&list=PLwfGz5L2VZJe6btTpq9HWjkxsK8Txi5Hp&index=7,Pokemon Stadium,Attrape-Couillon,600,
https://www.youtube.com/watch?v=rDCOcqpWTkY,Super Smash Bros. Brawl,Attrape-Couillon,800,
https://www.youtube.com/watch?v=hCpCsZCwDfs&list=PLHTSZNnjPKmh4zwNklJPJslFJNWFAdvXw&index=1,Persona 4: Dancing All Night,Attrape-Couillon,1000,
https://www.youtube.com/watch?v=g7xpyhEw6H0&list=PLA69C1EEA3355844F&index=4,Dark Souls,Motoi Sakuraba,200,
https://www.youtube.com/watch?v=57nYujH4q5I&list=PL7oGGg7qjS8Hql6L7SfWY9mnY2ETDKtYu&index=1,Valkyrie Profile,Motoi Sakuraba,400,
https://www.youtube.com/watch?v=1SJsDCMyU9c&list=PLCD5E70634946E090&index=25,Golden Sun,Motoi Sakuraba,600,
https://www.youtube.com/watch?v=MgMXWnWH1TA&list=PL559549627472FD01&index=19,Star Ocean 3: Till the End of Time,Motoi Sakuraba,800,Star Ocean 3
https://www.youtube.com/watch?v=zLVpHOzp8wM&list=PL9F4F2782496724A5&index=19,Tales Of Vesperia,Motoi Sakuraba,1000,
https://www.youtube.com/watch?v=LO8t80CPgeQ,Diablo 3,Villes et villages,200,Diablo III
https://www.youtube.com/watch?v=mTGvxX30UDw,Monster Hunter World,Villes et villages,400,
https://www.youtube.com/watch?v=5gPMQbBxgGE,Bravely Default,Villes et villages,600,
https://www.youtube.com/watch?v=6MQRL7xws7w,Wild Arms,Villes et villages,800,
https://www.youtube.com/watch?v=jF0h1mxBUUM&list=PLB3AI05_vU3oU9dHBMChE4_bUwwDi9uVb&index=6,Steamworld Dig 2,Villes et villages,1000,
https://www.youtube.com/watch?v=IJvRR5PoFEU,Rayman Origins,Thèmes chantés,200,
https://www.youtube.com/watch?v=CJHppNnNZL4&list=PLf8sGPPwWebWuw1-HPINvsrJ66X7_qeFM&index=3,Nier,Thèmes chantés,400,Nier Gestalt|Nier Replicant
https://www.youtube.com/watch?v=f9O2Rjn1azc,Transistor,Thèmes chantés,600,
https://www.youtube.com/watch?v=04SzlUGNBIU&list=PL3AC0EA40F22F7992,Command & Conquer Red Alert 3,Thèmes chantés,800,
https://www.youtube.com/watch?v=oWrKHWpLn0U&list=PLozS1WpR7wYrLUmRWstp3tURY2KHhP0Lk&index=48,Gravity Rush,Thèmes chantés,1000,
https://www.youtube.com/watch?v=v26JcJl4B30,The Legend of Zelda: Ocarina of Time,OCRemix,200,Zelda Ocarina of Time|Ocarina of Time|Zelda OOT
